CanalID,Nome_Canal,Plataforma,Data_Criacao,Data_Alteracao,Usuario_Criacao,Usuario_Alteracao
64,Chat,Five9,"2020-05-02 00:00:00","2024-10-09 00:00:00","Castor de Moraes","Byron da Silva"
65,Chat,Intercom,"2020-05-04 00:00:00","2025-05-04 00:00:00","Constance Mendes","Jesse dos Reis"
66,Telegram,Zendesk,"2020-09-04 00:00:00","2025-04-07 00:00:00","Minerva Araujo","Jerry dos Reis"
67,RedesSociais,SalesforeceServiceNow,"2020-06-16 00:00:00","2025-03-21 00:00:00","Lilah Coelho","Camille Magalhaes"
68,SMS,Zendesk,"2021-04-28 00:00:00","2024-08-22 00:00:00","Emery Miranda","Quinn de Moura"
69,Telefone,Intercom,"2020-05-04 00:00:00","2024-01-10 00:00:00","Stone Rodrigues","Reese Freitas"
70,RedesSociais,SproutSocial,"2023-11-02 00:00:00","2024-01-28 00:00:00","Chiquita do Nascimento","Jarrod Bueno"
71,Chat,SalesforeceServiceNow,"2022-03-30 00:00:00","2024-07-29 00:00:00","Althea Amorim","Irma Domingues"
72,E-mail,LiveChat,"2020-08-02 00:00:00","2025-06-18 00:00:00","Wendy Morais","Ruby Marinho"
73,Chat,Ticketing,"2020-11-12 00:00:00","2024-05-12 00:00:00","Burton Macedo","Leila Pacheco"
74,SMS,Five9,"2024-09-08 00:00:00","2024-02-22 00:00:00","Wilma Queiroz","Martin Medeiros"
75,SMS,LiveChat,"2020-09-18 00:00:00","2024-05-06 00:00:00","Tara Custodio","Xenos Leite"
76,Chat,Freshdesk,"2020-08-14 00:00:00","2025-05-29 00:00:00","Aiko Gomes","Dana Costa"
77,Telegram,Drift,"2021-11-18 00:00:00","2024-06-18 00:00:00","Eagan de Moura","Raymond de Assis"
78,SMS,LiveChat,"2021-07-04 00:00:00","2024-11-28 00:00:00","Hunter da Rocha","Jamal Franco"
79,Chat,SproutSocial,"2020-05-12 00:00:00","2023-11-24 00:00:00","Belle Carneiro","Rowan Silva"
80,SMS,HootSuite,"2022-09-12 00:00:00","2023-09-29 00:00:00","Janna Campos","Cecilia Messias"
81,E-mail,Five9,"2024-08-08 00:00:00","2025-07-13 00:00:00","Christen Antunes","Amal Maia"
82,E-mail,SalesforeceServiceNow,"2024-05-27 00:00:00","2024-12-24 00:00:00","Chase da Costa","Deirdre Almeida"
83,Telegram,LiveChat,"2023-07-18 00:00:00","2025-03-22 00:00:00","Clarke Martins","Alec Sales"
84,Chat,Intercom,"2021-03-06 00:00:00","2025-02-02 00:00:00","Anne de Araujo","Plato Garcia"
85,RedesSociais,HootSuite,"2020-03-23 00:00:00","2025-01-26 00:00:00","Vernon Gomes","William Mota"
86,App,Intercom,"2021-04-09 00:00:00","2024-04-19 00:00:00","Yvonne Lima","Blaze de Sousa"
87,SMS,Ticketing,"2020-05-02 00:00:00","2025-01-03 00:00:00","Evangeline de Barros","Conan de Freitas"
88,Chatbot,Zendesk,"2021-11-22 00:00:00","2025-08-27 00:00:00","Preston Simoes","Kirk Caetano"
89,Telefone,Intercom,"2023-04-01 00:00:00","2025-05-16 00:00:00","Kathleen dos Santos","Jarrod de Lima"
90,SMS,Five9,"2020-11-24 00:00:00","2025-06-27 00:00:00","Sacha da Costa","Devin Melo"
91,Telefone,Freshdesk,"2021-12-14 00:00:00","2025-05-10 00:00:00","Xanthus de Melo","Rylee Henrique"
92,Telegram,Ticketing,"2023-06-14 00:00:00","2025-08-14 00:00:00","Gregory Reis","Amber Lopes"
93,E-mail,Zendesk,"2024-06-16 00:00:00","2025-07-31 00:00:00","Lacota de Lima","Gretchen Nunes"
94,Chatbot,HootSuite,"2022-04-28 00:00:00","2024-05-02 00:00:00","Bradley Cordeiro","Ava Mariano"
95,RedesSociais,SalesforeceServiceNow,"2023-10-03 00:00:00","2024-04-12 00:00:00","Shay Coelho","Guy Teles"
96,Chat,Intercom,"2023-09-25 00:00:00","2025-03-11 00:00:00","Fritz Cardoso","Mollie Barboza"
97,E-mail,Ticketing,"2022-12-20 00:00:00","2023-10-01 00:00:00","Conan da Silveira","Slade Amaral"
98,RedesSociais,Five9,"2022-10-13 00:00:00","2025-08-28 00:00:00","Malik Lemos","Reese da Costa"
99,E-mail,HootSuite,"2022-04-01 00:00:00","2024-12-30 00:00:00","Matthew Batista","Paloma Muniz"
100,Telefone,SproutSocial,"2024-05-12 00:00:00","2024-11-15 00:00:00","Camilla Simoes","Deborah Candido"
101,SMS,SalesforeceServiceNow,"2023-01-21 00:00:00","2024-08-19 00:00:00","Savannah Bueno","Calvin Ferraz"
102,Chatbot,Freshdesk,"2020-01-29 00:00:00","2024-02-23 00:00:00","Troy Araujo","Noelani de Sousa"
103,Telegram,Freshdesk,"2022-07-30 00:00:00","2023-11-21 00:00:00","Audrey Bueno","Logan Guimaraes"
104,App,LiveChat,"2022-02-16 00:00:00","2023-12-01 00:00:00","Shafira Firmino","Kylan Vasconcelos"
105,Telefone,SproutSocial,"2021-07-02 00:00:00","2024-09-02 00:00:00","Charde Braga","Ezekiel Custodio"
106,SMS,LiveChat,"2020-08-26 00:00:00","2025-01-05 00:00:00","Melvin Fernandes","Jonas Araujo"
107,SMS,LiveChat,"2021-11-08 00:00:00","2024-03-02 00:00:00","Haley Bispo","Sandra Amorim"
108,E-mail,HootSuite,"2022-05-03 00:00:00","2024-12-29 00:00:00","Allen Franca","Sean Gonçalves"
109,Chatbot,LiveChat,"2023-10-04 00:00:00","2024-09-07 00:00:00","Steven Teixeira","Lavinia Mendonca"
110,Telegram,HootSuite,"2020-09-19 00:00:00","2025-04-23 00:00:00","Jamal Macedo","Audrey Nascimento"
111,WhatsApp,SproutSocial,"2021-11-04 00:00:00","2024-08-11 00:00:00","Pearl Pires","Melanie Neves"
112,SMS,Zendesk,"2024-03-03 00:00:00","2025-09-07 00:00:00","Beverly da Silveira","Tate Maciel"
113,Chat,Intercom,"2020-12-12 00:00:00","2023-10-13 00:00:00","Carol Caetano","Hedy Magalhaes"
114,SMS,SproutSocial,"2021-02-24 00:00:00","2023-10-18 00:00:00","Kermit Diniz","Colorado Sántos"
115,RedesSociais,HootSuite,"2024-06-28 00:00:00","2024-01-11 00:00:00","Gretchen de Lourdes","Caldwell Candido"
116,Telefone,Intercom,"2022-02-03 00:00:00","2024-02-21 00:00:00","Harriet Borges","Callum de Sousa"
117,E-mail,Ticketing,"2020-11-04 00:00:00","2023-12-21 00:00:00","Zorita dos Reis","Mollie Amorim"
118,Telefone,Freshdesk,"2021-07-08 00:00:00","2024-06-12 00:00:00","Gavin Magalhaes","Hayes Ramos"
119,RedesSociais,SproutSocial,"2021-06-12 00:00:00","2023-12-03 00:00:00","Sierra Rezende","Jin Brandao"
120,Chatbot,Intercom,"2020-03-27 00:00:00","2025-09-01 00:00:00","Yuri Brandao","Chase Correa"
121,RedesSociais,Ticketing,"2022-04-19 00:00:00","2024-03-21 00:00:00","Cooper Mendonca","Alma Furtado"
122,App,HootSuite,"2022-11-22 00:00:00","2024-11-10 00:00:00","Neil Caetano","Dexter Matos"
123,SMS,SproutSocial,"2024-03-18 00:00:00","2024-03-20 00:00:00","David Braga","Rana Messias"
124,SMS,Drift,"2022-03-13 00:00:00","2024-05-23 00:00:00","Rhiannon Marinho","Clarke Trindade"
125,Chat,SproutSocial,"2023-05-26 00:00:00","2025-02-13 00:00:00","Rooney de Moura","Nayda Xavier"
126,Chatbot,Intercom,"2023-12-29 00:00:00","2024-08-19 00:00:00","Willa Inacio","Amery de Morais"
127,SMS,LiveChat,"2021-01-19 00:00:00","2024-04-22 00:00:00","Paki Mendonca","Alice Sampaio"
128,App,Intercom,"2023-09-13 00:00:00","2025-07-09 00:00:00","Jorden Aparecido","Lillith Garcia"
129,Telefone,SalesforeceServiceNow,"2023-07-02 00:00:00","2024-03-29 00:00:00","Sonya dos Santos","Deborah Neves"
130,E-mail,Zendesk,"2021-10-18 00:00:00","2023-11-08 00:00:00","Camden Almeida","Hamish de Matos"
131,Telegram,Five9,"2024-01-22 00:00:00","2024-03-30 00:00:00","Salvador de Assis","Nerea dos Anjos"
132,Chat,SproutSocial,"2022-09-11 00:00:00","2024-08-22 00:00:00","Alea Braz","Quin Borges"
133,Telegram,Intercom,"2021-05-03 00:00:00","2024-08-16 00:00:00","Ruth Rezende","Talon Evangelista"
134,Chat,Ticketing,"2024-03-11 00:00:00","2025-02-22 00:00:00","Whitney de Oliveira","Jena Pacheco"
135,Chatbot,Five9,"2023-07-21 00:00:00","2023-11-19 00:00:00","Basil Pinheiro","Dalton Menezes"
136,Chat,Ticketing,"2024-05-03 00:00:00","2023-11-12 00:00:00","Gregory Galdino","Phoebe Garcia"
137,Telefone,Five9,"2023-04-01 00:00:00","2024-10-19 00:00:00","Isadora Neves","Kimberly da Rocha"
138,WhatsApp,Five9,"2023-07-15 00:00:00","2023-10-11 00:00:00","Lester Reis","Gay Pinto"
139,WhatsApp,SalesforeceServiceNow,"2021-02-13 00:00:00","2023-12-23 00:00:00","Philip Franco","Fritz Das Dores"
140,Chatbot,Zendesk,"2024-05-28 00:00:00","2024-02-28 00:00:00","Keane de Andrade","Rahim Nogueira"
141,Telefone,HootSuite,"2021-01-03 00:00:00","2023-11-14 00:00:00","Aquila Santos","Dustin Miranda"
142,Chatbot,SalesforeceServiceNow,"2023-11-25 00:00:00","2025-03-10 00:00:00","Dante de Andrade","Ivana Vieira"
143,SMS,SalesforeceServiceNow,"2023-10-26 00:00:00","2024-03-23 00:00:00","Josephine Custodio","Vance Dantas"
144,E-mail,HootSuite,"2024-04-13 00:00:00","2025-09-17 00:00:00","Bryar Mendonca","Chancellor Leal"
145,RedesSociais,Ticketing,"2023-05-31 00:00:00","2024-08-21 00:00:00","Risa Monteiro","Caldwell Aparecido"
146,SMS,Five9,"2023-08-10 00:00:00","2024-05-07 00:00:00","Marah Das Dores","Devin Bento"
147,Chatbot,LiveChat,"2022-10-04 00:00:00","2025-06-01 00:00:00","Peter Braga","Felix Cruz"
148,Chatbot,Freshdesk,"2023-08-06 00:00:00","2024-09-05 00:00:00","Gabriel de Moura","Teagan de Abreu"
149,Telefone,HootSuite,"2020-03-29 00:00:00","2023-12-09 00:00:00","Joy Inacio","Echo Amorim"
150,E-mail,Ticketing,"2024-03-28 00:00:00","2024-11-19 00:00:00","Lee Vieira","Trevor de Jesus"
151,Telefone,Zendesk,"2023-12-14 00:00:00","2025-02-21 00:00:00","Jillian Ramos","Mechelle Dias"
152,Telefone,SproutSocial,"2024-04-25 00:00:00","2024-02-28 00:00:00","Harding Ramos","Ursula Matos"
153,Chatbot,SproutSocial,"2020-04-07 00:00:00","2025-02-17 00:00:00","Carissa Das Chagas","Madaline Rosa"
154,WhatsApp,Zendesk,"2021-12-25 00:00:00","2024-09-24 00:00:00","Malachi Campos","Walker Farias"
155,Telegram,Zendesk,"2021-10-13 00:00:00","2024-08-21 00:00:00","Rahim Cunha","Risa Amorim"
156,RedesSociais,SalesforeceServiceNow,"2024-08-19 00:00:00","2024-02-07 00:00:00","Peter Bueno","Marcia Freire"
157,Telefone,Intercom,"2021-07-20 00:00:00","2024-02-16 00:00:00","Quintessa de Souza","Troy Chagas"
158,Chatbot,Five9,"2022-04-04 00:00:00","2024-03-18 00:00:00","Harrison Das Chagas","Jessica de Brito"
159,RedesSociais,Freshdesk,"2023-07-02 00:00:00","2023-12-13 00:00:00","Odysseus de Carvalho","Edan de Fatima"
160,Chatbot,SproutSocial,"2023-08-06 00:00:00","2025-02-27 00:00:00","Drew Felix","Warren Queiroz"
161,RedesSociais,HootSuite,"2021-08-19 00:00:00","2025-09-14 00:00:00","Karyn Fernandes","Oleg de Moura"
162,RedesSociais,LiveChat,"2022-08-29 00:00:00","2023-12-26 00:00:00","Macey Figueiredo","Calvin Messias"
163,RedesSociais,SproutSocial,"2021-04-03 00:00:00","2025-09-15 00:00:00","Jakeem Mendonca","Leilani Correia"
164,RedesSociais,HootSuite,"2022-06-26 00:00:00","2023-10-15 00:00:00","Veda de Melo","Walter Coutinho"
165,Chat,HootSuite,"2022-05-27 00:00:00","2024-01-23 00:00:00","Jane Nogueira","Kylee Maciel"
166,RedesSociais,Intercom,"2021-09-06 00:00:00","2023-10-26 00:00:00","Connor Mendes","Lars Freire"
167,SMS,Freshdesk,"2021-03-26 00:00:00","2023-12-25 00:00:00","Caldwell Custodio","Orla Neves"
168,App,LiveChat,"2020-02-21 00:00:00","2023-10-30 00:00:00","Nathaniel Leite","Ila de Melo"
169,E-mail,HootSuite,"2020-04-07 00:00:00","2024-07-18 00:00:00","Emerson Faria","Scarlett Araujo"
170,Chat,LiveChat,"2022-10-09 00:00:00","2023-09-29 00:00:00","Flynn do Carmo","Francis Bueno"
171,Telegram,HootSuite,"2020-03-04 00:00:00","2024-03-17 00:00:00","Elaine Souza","Roanna Oliveira"
172,Chatbot,HootSuite,"2023-12-24 00:00:00","2025-03-21 00:00:00","Emery Fagundes","Cullen Matos"
173,E-mail,Five9,"2022-02-24 00:00:00","2024-10-09 00:00:00","Leah Maciel","Joan Machado"
174,App,Intercom,"2022-07-06 00:00:00","2025-08-06 00:00:00","Stephanie Franca","Harper Mariano"
175,E-mail,Freshdesk,"2021-08-13 00:00:00","2025-02-18 00:00:00","Ursa Santos","Barrett de Paula"
176,Chatbot,Five9,"2021-07-03 00:00:00","2024-08-06 00:00:00","Kyle Nascimento","Hayden Rosa"
177,SMS,SproutSocial,"2020-09-08 00:00:00","2025-02-13 00:00:00","Quin de Matos","Lewis Tavares"
178,RedesSociais,Ticketing,"2023-02-28 00:00:00","2025-03-15 00:00:00","Daphne Araujo","Shelley de Sousa"
179,WhatsApp,Intercom,"2022-02-16 00:00:00","2024-03-27 00:00:00","Kasper da Silveira","Shoshana Campos"
180,Chatbot,Five9,"2022-05-13 00:00:00","2025-06-12 00:00:00","Barbara Nascimento","Celeste Correa"
181,E-mail,SalesforeceServiceNow,"2021-10-31 00:00:00","2024-09-09 00:00:00","Thaddeus Rosa","Roth Das Gracas"
182,Telefone,LiveChat,"2020-06-27 00:00:00","2024-07-01 00:00:00","Amelia Brandao","Stacey Messias"
183,Telegram,Five9,"2024-08-31 00:00:00","2025-07-26 00:00:00","Zenaida de Assis","Demetrius Cavalcante"
184,SMS,Intercom,"2020-08-19 00:00:00","2024-08-18 00:00:00","Isaiah Feitosa","Bert dos Santos"
185,WhatsApp,LiveChat,"2022-03-29 00:00:00","2025-05-25 00:00:00","Ria Farias","Odysseus Neves"
186,Telegram,SalesforeceServiceNow,"2023-06-05 00:00:00","2024-05-05 00:00:00","Stacy Dias","Bevis Morais"
187,WhatsApp,LiveChat,"2021-09-30 00:00:00","2024-12-17 00:00:00","Sacha Vaz","Kiayada Mota"
188,Telegram,Intercom,"2020-02-05 00:00:00","2024-10-04 00:00:00","Gretchen Macedo","Jerome Moura"
189,Telefone,Drift,"2021-08-20 00:00:00","2024-09-17 00:00:00","Walter Soares","Ahmed Lopes"
190,SMS,Ticketing,"2020-06-23 00:00:00","2024-04-22 00:00:00","Stacey Muniz","Jameson Marinho"
191,RedesSociais,Five9,"2020-03-22 00:00:00","2025-02-02 00:00:00","Harlan Brandao","Judith Freitas"
192,SMS,LiveChat,"2020-06-20 00:00:00","2025-08-11 00:00:00","Alec Azevedo","Dennis Faria"
193,E-mail,Drift,"2021-06-19 00:00:00","2025-07-19 00:00:00","Daquan Campos","Celeste Leite"
194,RedesSociais,Zendesk,"2021-03-21 00:00:00","2023-12-24 00:00:00","Piper Das Chagas","Violet Freitas"
195,App,Ticketing,"2024-06-12 00:00:00","2025-07-26 00:00:00","Josiah Messias","Silas Ferreira"
196,E-mail,SproutSocial,"2024-08-29 00:00:00","2025-05-06 00:00:00","Cecilia Mota","Hiram dos Santos"
197,E-mail,SalesforeceServiceNow,"2024-07-10 00:00:00","2024-04-12 00:00:00","Hope Nunes","Pascale Fagundes"
198,Chatbot,Ticketing,"2022-05-21 00:00:00","2025-08-06 00:00:00","Joshua Gonzaga","Colt Das Chagas"
199,E-mail,Freshdesk,"2022-04-16 00:00:00","2023-09-29 00:00:00","Petra Antunes","Rhiannon Brandao"
200,RedesSociais,Zendesk,"2024-08-03 00:00:00","2024-06-16 00:00:00","Hiram Sales","Rhoda Santiago"
201,RedesSociais,Drift,"2023-03-21 00:00:00","2025-05-12 00:00:00","Dolan Pinheiro","Dale de Moraes"
202,E-mail,SproutSocial,"2020-05-19 00:00:00","2023-12-12 00:00:00","Jasmine Dutra","Wilma Teodoro"
203,Telefone,HootSuite,"2021-02-17 00:00:00","2025-03-14 00:00:00","Uriah Bueno","Gavin dos Anjos"
204,E-mail,Zendesk,"2021-11-02 00:00:00","2024-03-19 00:00:00","Tanisha de Melo","Allistair Rodrigues"
205,Chatbot,SalesforeceServiceNow,"2022-03-05 00:00:00","2024-01-21 00:00:00","Ann da Rosa","Chadwick Pinto"
206,E-mail,Five9,"2023-04-12 00:00:00","2025-08-07 00:00:00","Hayes Sampaio","Jenette Das Dores"
207,E-mail,LiveChat,"2020-12-30 00:00:00","2024-08-07 00:00:00","Preston Nunes","Rana Candido"
208,SMS,HootSuite,"2023-10-29 00:00:00","2024-03-22 00:00:00","Aaron Carvalho","Gabriel Dias"
209,Chatbot,Freshdesk,"2022-05-27 00:00:00","2025-07-21 00:00:00","Kamal Feitosa","Samson de Castro"
210,App,LiveChat,"2022-01-05 00:00:00","2025-05-04 00:00:00","Aladdin Moura","Dennis Cabral"
211,Telefone,LiveChat,"2023-12-17 00:00:00","2024-04-16 00:00:00","Thor Andrade","Hilel Sales"
212,App,SproutSocial,"2022-10-02 00:00:00","2024-07-17 00:00:00","Harriet de Paula","Baker Coelho"
213,Telefone,Intercom,"2020-03-13 00:00:00","2024-01-21 00:00:00","Tarik Amorim","Odysseus Souza"
214,Chat,Drift,"2023-01-01 00:00:00","2025-04-20 00:00:00","Otto Monteiro","Adena de Almeida"
215,Chatbot,LiveChat,"2021-06-18 00:00:00","2024-07-02 00:00:00","Hilel Barreto","Astra Amorim"
216,RedesSociais,HootSuite,"2020-06-14 00:00:00","2024-06-19 00:00:00","Summer Diniz","Rudyard Barros"
217,SMS,SalesforeceServiceNow,"2023-07-04 00:00:00","2025-04-30 00:00:00","Rhonda Ferraz","Tyler Reis"
218,SMS,Ticketing,"2024-01-25 00:00:00","2024-03-22 00:00:00","Ebony Correa","Phoebe Amorim"
219,Telefone,Freshdesk,"2020-07-12 00:00:00","2025-09-13 00:00:00","Rhiannon Marques","Damian da Cruz"
220,SMS,Zendesk,"2022-02-10 00:00:00","2024-01-17 00:00:00","Nomlanga Mota","Octavius Simoes"
221,SMS,HootSuite,"2023-05-12 00:00:00","2024-12-09 00:00:00","Marvin Batista","Genevieve Nonato"
222,E-mail,HootSuite,"2022-06-14 00:00:00","2025-08-20 00:00:00","Kitra Bezerra","Teegan Das Gracas"
223,Telefone,Intercom,"2020-04-23 00:00:00","2024-07-14 00:00:00","Jordan Inacio","Ira Ramos"
224,Telefone,Drift,"2023-02-24 00:00:00","2024-02-21 00:00:00","Amir Domingues","Carolyn Domingos"
225,E-mail,LiveChat,"2023-06-11 00:00:00","2025-03-31 00:00:00","Walter Chagas","Isadora Andrade"
226,SMS,SalesforeceServiceNow,"2020-08-13 00:00:00","2025-03-28 00:00:00","Zenia Fernandes","McKenzie de Santana"
227,RedesSociais,Zendesk,"2020-06-14 00:00:00","2023-10-15 00:00:00","Ann Lemos","Nola de Campos"
228,Telefone,Drift,"2022-09-04 00:00:00","2025-08-04 00:00:00","Philip Viana","Keefe Mariano"
229,Chat,LiveChat,"2023-03-18 00:00:00","2024-06-06 00:00:00","Louis Moreira","Boris Ribeiro"
230,SMS,LiveChat,"2023-11-09 00:00:00","2024-12-08 00:00:00","Mia Pires","Warren Cardoso"
231,Telefone,SalesforeceServiceNow,"2020-03-31 00:00:00","2024-05-24 00:00:00","Gannon Mariano","Jael Barreto"
232,Chatbot,Zendesk,"2022-03-18 00:00:00","2024-04-26 00:00:00","Finn Andrade","Merritt Carneiro"
233,RedesSociais,Ticketing,"2020-06-23 00:00:00","2024-05-03 00:00:00","Oprah Campos","Ashely Cabral"
234,RedesSociais,Drift,"2020-05-15 00:00:00","2025-03-08 00:00:00","Timothy Caetano","Brynne Costa"
